sample,rank,frame,delta_vs_baseline,hf_energy_db,baseline_snr,candidate_snr,sony_complexity_score,sony_residual_bits,sony_actual_bits_used,sony_attack_ratio,sony_transient_triggered,sony_matrix_index,sony_matrix_changed,sony_weight_sum,sony_weight_delta,sony_gain_sum,sony_gain_delta,sony_num_tonals,bucket,bucket_reason,recommended_action
YOUtopia,17,507,0.0,74.01097015780552,13.093223789099245,13.093223789099245,24.5,1370.5,1395.0,1.2944786047082117,0,3,0,195.5,1.5,16.5,1.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,18,495,0.0,73.93532370762001,18.4775419304386,18.4775419304386,112.0,1283.5,1395.5,1.3728813661031778,0,3,0,207.5,4.0,20.5,3.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,19,422,0.0,73.87263871097284,18.91815139272946,18.91815139272946,7.5,1360.5,1368.0,1.2116656872666671,0,3,0,189.0,0.5,15.5,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,20,611,0.0,73.81076774512456,20.512211047270736,20.512211047270736,30.0,1347.0,1377.0,1.8383839925130208,0,3,0,203.5,5.0,19.0,1.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,21,553,0.0,73.69578848481008,19.442291787983283,19.442291787983283,28.0,1390.5,1418.5,1.6863509442602924,0,3,0,200.5,0.5,17.5,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,22,588,0.0,73.62646202560947,12.895005542214815,12.895005542214815,75.0,1335.0,1410.0,1.1123882981609616,0,3,0,199.5,2.0,18.5,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,23,458,0.0,73.16774288477946,15.388975965918428,15.388975965918428,33.5,1366.5,1400.0,2.460580549100493,1,3,0,202.5,2.5,16.0,3.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
YOUtopia,24,384,0.0,73.01098817552159,10.4590452154542,10.4590452154542,0.0,1391.5,1391.5,1.3257248366679009,0,3,0,179.0,2.0,15.0,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
YOUtopia,25,462,0.0,72.82622687270171,17.036116969361842,17.036116969361842,44.0,1373.5,1417.5,1.7415726691722844,0,3,0,203.5,7.0,18.0,2.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,1,54,0.0,67.55576457764002,20.882411337426387,20.882411337426387,-104.0,1502.0,1398.0,1.2796611079228686,0,3,0,172.5,4.0,22.0,0.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,2,58,0.0,67.4617580666982,14.952979272578828,14.952979272578828,-57.5,1433.0,1375.5,1.5296715100606282,0,3,0,195.0,3.0,17.0,1.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,3,59,0.0,67.23804296966024,16.896087479382274,16.896087479382274,19.5,1383.5,1403.0,1.2092745799224827,0,3,0,187.5,7.5,16.0,1.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,4,57,0.0,67.11794715965284,16.259762623674764,16.259762623674764,-38.5,1453.5,1415.0,1.4929973014057867,0,3,0,198.0,6.5,18.5,3.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,5,56,0.0,67.10875075491683,16.424508263187874,16.424508263187874,-169.5,1567.0,1397.5,1.0,0,3,0,204.5,27.0,22.0,0.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,6,60,0.0,67.00682646764216,15.73011050805853,15.73011050805853,48.5,1365.5,1414.0,1.3579661757577,0,3,0,189.0,1.5,17.5,1.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
Badlands,7,55,0.0,66.7417966524724,18.17338223494928,18.17338223494928,-173.0,1548.5,1375.5,1.088888931274414,0,3,0,177.5,5.0,22.5,0.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,8,564,0.0,66.35410226467073,19.29866075017842,19.29866075017842,-84.0,1482.0,1398.0,1.225544644923602,0,3,0,177.5,4.5,23.5,0.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,9,183,0.0,66.28757807425943,21.473764058303395,21.473764058303395,-76.0,1493.0,1417.0,2.0148268464367964,1,3,0,175.0,7.5,21.0,2.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,10,374,0.0,65.9769713963796,18.05843643260878,18.05843643260878,-67.5,1484.5,1417.0,1.2558138790228652,0,3,0,172.5,3.0,23.5,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,11,543,0.0,65.90625388681292,21.3381525893257,21.3381525893257,-87.0,1471.0,1384.0,1.1493212605247127,0,3,0,170.0,4.0,22.5,1.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,12,522,0.0,65.83747938079195,22.087097201119267,22.087097201119267,-155.5,1552.5,1397.0,1.323232361764619,0,3,0,178.5,3.5,23.0,2.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,13,310,0.0,65.74738137536724,22.0647416553299,22.0647416553299,-49.0,1465.0,1416.0,1.7448609389346628,0,3,0,171.0,2.5,23.0,0.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,14,61,0.0,65.70002943524253,14.962716707199505,14.962716707199505,46.5,1360.0,1406.5,1.5066205576349971,0,3,0,192.5,3.5,16.5,1.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,15,204,0.0,65.47313040830596,22.323226246585172,22.323226246585172,-169.5,1567.0,1397.5,1.1743725226782178,0,3,0,175.0,3.0,21.5,1.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,16,53,0.0,65.44980961209092,22.638201057119822,22.638201057119822,-108.5,1507.5,1399.0,1.0,0,3,0,168.5,2.5,21.5,1.5,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,17,353,0.0,65.3279274108224,16.312116539829702,16.312116539829702,5.0,1404.0,1409.0,1.6179050747564634,0,3,0,179.0,1.0,24.0,0.0,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
Badlands,18,626,0.0,65.32208303010898,20.717578507053492,20.717578507053492,-123.0,1527.0,1404.0,1.4957746958340095,0,3,0,183.5,1.5,22.5,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
Badlands,19,605,0.0,65.23583368145424,20.27177380136076,20.27177380136076,-95.5,1492.0,1396.5,1.3683292797216848,0,3,0,176.0,2.0,22.0,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
Badlands,20,289,0.0,65.13904616921864,21.74619593541086,21.74619593541086,-25.0,1440.5,1415.5,1.213786843537206,0,3,0,170.5,7.0,21.5,2.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,21,246,0.0,65.08916792241197,21.04925851323793,21.04925851323793,28.0,1370.5,1398.5,1.259970406174725,0,3,0,183.0,0.5,20.5,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
Badlands,22,268,0.0,64.95831955300302,21.703670663324296,21.703670663324296,-18.5,1427.0,1408.5,1.1287490620783496,0,3,0,185.0,2.0,23.5,0.0,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
Badlands,23,395,0.0,64.90992028514422,20.22682452817893,20.22682452817893,-2.0,1410.0,1408.0,1.4661017576362634,0,3,0,161.0,10.5,21.0,2.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
Badlands,24,62,0.0,64.73742495300274,16.265238200466673,16.265238200466673,56.5,1330.5,1387.0,1.21755260660218,0,3,0,194.5,2.0,17.0,0.5,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
Badlands,25,226,0.0,64.73473965413149,17.4663190788552,17.4663190788552,-10.0,1421.5,1411.5,1.297422936514918,0,3,0,173.5,0.5,19.5,1.0,0.0,gain/transient-driven,elevated attack/gain signature around hotspot frame,adjust attack protection and weak one-frame gain-trigger suppression
chirp_wait,1,214,0.0,90.6770505927594,-3.4150123217572786e-05,-3.4150123217572786e-05,998.0,379.0,1377.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,2,213,0.0,90.58939377344726,-3.2455028217774684e-07,-3.2455028217774684e-07,829.0,306.0,1135.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,3,212,0.0,90.50242346905816,0.0,0.0,701.0,285.0,986.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,4,211,0.0,90.39822325210322,0.0,0.0,232.0,350.0,582.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,default fallback after stereo/transient tests,prioritize conservative allocator-side micro-adjustments
chirp_wait,5,210,0.0,90.26815816663523,0.0,0.0,224.0,395.0,619.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,default fallback after stereo/transient tests,prioritize conservative allocator-side micro-adjustments
chirp_wait,6,209,0.0,90.14913634711019,0.0,0.0,369.0,475.0,844.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,7,208,0.0,90.0049513858516,0.0,0.0,305.0,625.0,930.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,8,207,0.0,89.85404791091653,0.0,0.0,169.0,724.0,893.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,9,206,0.0,89.6997555019583,0.0,0.0,115.0,881.0,996.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,10,205,0.0,89.52645104995418,3.822269455330494e-05,3.822269455330494e-05,40.0,830.0,870.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,11,204,0.0,89.35807792717723,-0.0955107812922408,-0.0955107812922408,-61.0,886.0,825.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,12,203,0.0,89.17948321403551,6.264440202952429,6.264440202952429,-139.0,892.0,753.0,1.0,0,3,0,0.0,2.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,13,202,0.0,88.98476780664326,30.07877260599896,30.07877260599896,0.0,787.0,787.0,1.0,0,3,0,2.0,1.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,14,201,0.0,88.79565489573038,31.483812370553114,31.483812370553114,61.0,665.0,726.0,1.0,0,3,0,3.0,6.0,0.0,7.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
chirp_wait,15,200,0.0,88.596784851972,33.88605540240236,33.88605540240236,127.0,560.0,687.0,1.0,0,3,0,9.0,3.0,7.0,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
chirp_wait,16,199,0.0,88.39189268012404,32.192004962274595,32.192004962274595,43.0,657.0,700.0,1.0,0,3,0,12.0,4.0,7.0,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
chirp_wait,17,198,0.0,88.18589929636173,31.076502443784992,31.076502443784992,99.0,725.0,824.0,1.0,0,3,0,8.0,8.0,7.0,7.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
chirp_wait,18,197,0.0,87.97073033032868,30.262051928633674,30.262051928633674,-56.0,835.0,779.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,19,196,0.0,87.74804750453035,30.85858883852994,30.85858883852994,-103.0,964.0,861.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,20,195,0.0,87.53098970208198,31.58141201358297,31.58141201358297,0.0,916.0,916.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,21,194,0.0,87.30309664119277,30.5585013461096,30.5585013461096,223.0,766.0,989.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,22,193,0.0,87.07486295941563,31.143658473606166,31.143658473606166,276.0,709.0,985.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,23,192,0.0,86.84714316669326,33.75420760373969,33.75420760373969,70.0,746.0,816.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,24,191,0.0,86.60496164439161,33.33896824400432,33.33896824400432,223.0,787.0,1010.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
chirp_wait,25,190,0.0,86.37327450724888,30.334267927480113,30.334267927480113,465.0,595.0,1060.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
tmp_transient,1,21,0.0,66.73611476875222,11.644562864035414,11.644562864035414,0.0,0.0,0.0,1.0,0,3,0,0.0,0.0,0.0,0.0,0.0,allocator-driven,high complexity/bit-pressure relative to sample baseline,apply bounded BFU/shift feedback nudges with strict continuity caps
tmp_transient,2,47,0.0,66.73611476875222,10.962879362626756,10.962879362626756,0.0,0.0,0.0,1.0,0,3,0,0.0,54.0,0.0,3.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
tmp_transient,3,116,0.0,66.73611476875222,10.94117822513349,10.94117822513349,0.0,0.0,0.0,1.0,0,3,0,60.0,33.0,3.0,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
tmp_transient,4,146,0.0,66.73611476875222,12.034527678961249,12.034527678961249,0.0,0.0,0.0,1.0,0,3,0,60.0,33.0,3.0,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
tmp_transient,5,81,0.0,66.73611435690287,9.642558033410008,9.642558033410008,0.0,0.0,0.0,1.0,0,3,0,48.0,12.0,3.0,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
tmp_transient,6,180,0.0,66.73589726639808,9.811987287451835,9.811987287451835,0.0,0.0,0.0,1.0,0,3,0,50.0,6.0,3.0,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
tmp_transient,7,181,0.0,23.73280252393101,-32.06721702862901,-32.06721702862901,0.0,0.0,0.0,1.0,0,3,0,27.0,23.0,3.0,0.0,0.0,stereo-driven,matrix/weight movement around hotspot frame,tighten HF side-retention hysteresis and matrix hold continuity
